Product Name,Printing,Rarity,Market Price
Nevarro City // Experience,Normal,Common,$0.03
Rhokai Gunship,Normal,Common,$0.03
Underworld Thug,Normal,Common,$0.03
Clan Wren Rescuer,Normal,Common,$0.04
Coronet City // Shield,Normal,Common,$0.04
Covetous Rivals,Normal,Common,$0.04
Death Mark,Normal,Common,$0.04
Detention Block Rescue,Normal,Common,$0.04
Follower of The Way,Normal,Common,$0.04
Fugitive Wookiee,Normal,Common,$0.04
Niima Outpost Constables,Normal,Common,$0.04
Outlaw Corona,Normal,Common,$0.04
Public Enemy,Normal,Common,$0.04
Rich Reward,Normal,Common,$0.04
Ruthless Assassin,Normal,Common,$0.04
Trandoshan Hunters,Normal,Common,$0.04
Twin Pod Cloud Car,Normal,Common,$0.04
Wanted,Normal,Common,$0.04
Bounty Guild Initiate,Normal,Common,$0.05
Cargo Juggernaut,Normal,Common,$0.05
Cartel Turncoat,Normal,Common,$0.05
Chain Code Collector,Foil,Common,$0.05
Chain Code Collector,Normal,Common,$0.05
Clan Challengers,Normal,Common,$0.05
Death Watch Hideout // Experience,Normal,Common,$0.05
Desperate Attack,Normal,Common,$0.05
Disabling Fang Fighter,Normal,Common,$0.05
Discerning Veteran,Normal,Common,$0.05
Fennec Shand - Honoring the Deal,Normal,Common,$0.05
Gentle Giant,Normal,Common,$0.05
Grey Squadron Y-Wing,Normal,Common,$0.05
Guavian Antagonizer,Normal,Common,$0.05
Hunting Nexu,Normal,Common,$0.05
Hutt's Henchmen,Normal,Common,$0.05
Liberated Slaves,Normal,Common,$0.05
Ma Klounkee,Normal,Common,$0.05
Mandalorian Warrior,Normal,Common,$0.05
Modded Cohort,Normal,Common,$0.05
Moisture Farmer,Normal,Common,$0.05
Moment of Glory,Normal,Common,$0.05
Price on Your Head,Normal,Common,$0.05
Principled Outlaw,Normal,Common,$0.05
Reckless Gunslinger,Normal,Common,$0.05
Remnant Science Facility // Experience,Normal,Common,$0.05
Remnant Science Facility // Shield,Normal,Common,$0.05
Remote Village // Shield,Normal,Common,$0.05
Resourceful Pursuers,Normal,Common,$0.05
Slaver's Freighter,Normal,Common,$0.05
Smuggler's Aid,Normal,Common,$0.05
Take Captive,Normal,Common,$0.05
Vigilant Pursuit Craft,Normal,Common,$0.05
Wanted Insurgents,Normal,Common,$0.05
Warbird Stowaway,Normal,Common,$0.05
Warzone Lieutenant,Normal,Common,$0.05
Weequay Pirate Gang,Normal,Common,$0.05
Wookiee Warrior,Normal,Common,$0.05
Wroshyr Tree Tender,Normal,Common,$0.05
Adelphi Patrol Wing,Normal,Common,$0.06
Boba Fett - Daimyo,Normal,Common,$0.06
Collections Starhopper,Normal,Common,$0.06
Criminal Muscle,Normal,Common,$0.06
Foundling,Normal,Common,$0.06
HWK-290 Freighter,Normal,Common,$0.06
Heroic Renegade,Normal,Common,$0.06
Hunter of the Haxion Brood,Normal,Common,$0.06
Maz Kanata's Castle // Shield,Normal,Common,$0.06
Mercenary Company,Normal,Common,$0.06
Nite Owl Skirmisher,Normal,Common,$0.06
No Bargain,Normal,Common,$0.06
Pirate Battle Tank,Normal,Common,$0.06
Protector of the Throne,Normal,Common,$0.06
Reputable Hunter,Normal,Common,$0.06
Rickety Quadjumper,Normal,Common,$0.06
Smuggler's Starfighter,Normal,Common,$0.06
Supercommando Squad,Normal,Common,$0.06
Surprise Strike,Normal,Common,$0.06
Village Protectors,Normal,Common,$0.06
Black Sun Starfighter,Normal,Common,$0.07
Cad Bane - He Who Needs No Introduction,Normal,Common,$0.07
Death Watch Loyalist,Normal,Common,$0.07
Freetown Backup,Normal,Uncommon,$0.07
Frontier Trader,Normal,Common,$0.07
Gamorrean Retainer,Normal,Common,$0.07
Gar Saxon - Viceroy of Mandalore,Normal,Common,$0.07
Hylobon Enforcer,Normal,Common,$0.07
Jabba's Palace // Experience,Normal,Common,$0.07
Kintan Intimidator,Normal,Common,$0.07
Look the Other Way,Normal,Common,$0.07
Maz Kanata's Castle // Experience,Normal,Common,$0.07
Privateer Crew,Normal,Uncommon,$0.07
Privateer Scyk,Normal,Common,$0.07
Pyke Sentinel,Normal,Common,$0.07
Relentless Pursuit,Normal,Common,$0.07
Spice Mines // Experience,Normal,Common,$0.07
Street Gang Recruiter,Normal,Common,$0.07
Timely Intervention,Normal,Common,$0.07
Underworld Thug,Foil,Common,$0.07
Vambrace Grappleshot,Normal,Common,$0.07
Covert Strength,Normal,Common,$0.08
Desperado Freighter,Normal,Common,$0.08
Enforced Loyalty,Normal,Uncommon,$0.08
Enfys Nest - Marauder,Normal,Uncommon,$0.08
Enticing Reward,Normal,Uncommon,$0.08
Fennec Shand - Loyal Sharpshooter,Normal,Uncommon,$0.08
Headhunting,Normal,Uncommon,$0.08
House Kast Soldier,Normal,Common,$0.08
Kuiil - I Have Spoken,Normal,Uncommon,$0.08
Outflank,Normal,Common,$0.08
Outland TIE Vanguard,Normal,Common,$0.08
Remnant Reserves,Normal,Uncommon,$0.08
Rey - More Than a Scavenger,Normal,Common,$0.08
Slaver's Freighter,Foil,Common,$0.08
Smuggler's Aid,Foil,Common,$0.08
Spare the Target,Normal,Uncommon,$0.08
Spice Mines // Shield,Normal,Common,$0.08
System Patrol Craft,Normal,Special,$0.08
Top Target,Normal,Uncommon,$0.08
Bounty Posting,Normal,Uncommon,$0.09
Cartel Turncoat,Foil,Common,$0.09
Clan Saxon Gauntlet,Normal,Uncommon,$0.09
Clone Deserter,Normal,Common,$0.09
